iter	Passed	Remaining
0	2	258
1	4	199
2	5	183
3	6	157
4	7	141
5	8	130
6	9	123
7	9	114
8	10	108
9	11	101
10	11	96
11	12	92
12	13	88
13	13	85
14	14	83
15	15	81
16	16	79
17	16	77
18	17	75
19	18	73
20	19	72
21	19	70
22	20	68
23	21	67
24	21	65
25	22	64
26	23	62
27	23	61
28	24	59
29	24	58
30	25	56
31	26	55
32	26	54
33	27	53
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	26
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	18
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
