iter	Passed	Remaining
0	4	4280
1	6	3339
2	8	2861
3	10	2694
4	12	2496
5	14	2339
6	15	2249
7	18	2234
8	20	2263
9	21	2171
10	23	2095
11	24	2021
12	25	1964
13	26	1894
14	27	1828
15	28	1767
16	29	1718
17	30	1664
18	31	1626
19	33	1625
20	34	1594
21	35	1562
22	35	1523
23	36	1488
24	37	1458
25	38	1426
26	38	1401
27	39	1378
28	40	1355
29	41	1331
30	41	1306
31	42	1283
32	43	1264
33	43	1249
34	44	1234
35	45	1216
36	46	1203
37	47	1190
38	47	1179
39	49	1178
40	50	1172
41	51	1167
42	52	1158
43	52	1146
44	53	1135
45	54	1125
46	54	1114
47	55	1103
48	56	1092
49	56	1082
50	57	1074
51	58	1064
52	59	1055
53	59	1045
54	60	1036
55	61	1031
56	61	1023
57	62	1019
58	63	1018
59	65	1020
60	65	1012
61	66	1008
62	67	1002
63	68	995
64	68	988
65	69	981
66	69	974
67	70	969
68	71	963
69	72	958
70	72	951
71	73	945
72	73	939
73	74	933
74	75	927
75	75	922
76	76	919
77	77	916
78	78	914
79	79	910
80	79	907
81	80	902
82	80	894
83	81	889
84	82	884
85	82	879
86	83	875
87	84	870
88	84	866
89	85	863
90	86	859
91	86	855
92	87	851
93	87	847
94	88	844
95	89	840
96	89	837
97	90	833
98	91	831
99	92	828
100	92	825
101	93	823
102	94	820
103	94	817
104	95	813
105	96	810
106	96	807
107	97	803
108	97	800
109	98	797
110	99	794
111	99	791
112	100	789
113	101	786
114	101	784
115	102	781
116	103	778
117	103	775
118	104	772
119	105	770
120	105	767
121	106	765
122	107	764
123	107	762
124	108	760
125	109	758
126	109	754
127	110	752
128	111	749
129	111	746
130	112	744
131	112	742
132	113	740
133	114	737
134	114	735
135	115	733
136	116	731
137	116	729
138	117	727
139	118	725
140	118	723
141	119	719
142	119	717
143	120	715
144	121	714
145	122	713
146	122	712
147	123	710
148	124	709
149	124	707
150	125	705
151	126	703
152	126	701
153	127	699
154	128	697
155	128	696
156	129	694
157	130	693
158	130	691
159	131	690
160	131	687
161	132	685
162	133	683
163	133	681
164	134	680
165	134	678
166	135	676
167	136	674
168	137	674
169	137	673
170	138	672
171	139	671
172	140	670
173	140	668
174	141	667
175	142	666
176	142	664
177	143	663
178	144	661
179	144	660
180	145	658
181	146	657
182	146	655
183	147	654
184	148	652
185	148	650
186	149	649
187	150	647
188	150	646
189	151	645
190	152	644
191	153	644
192	153	642
193	154	642
194	155	640
195	155	639
196	156	637
197	157	636
198	157	635
199	158	633
200	159	632
201	159	630
202	160	629
203	160	627
204	161	626
205	162	625
206	162	624
207	163	622
208	164	621
209	164	619
210	165	618
211	166	617
212	166	616
213	167	615
214	168	614
215	169	613
216	169	612
217	170	611
218	171	610
219	171	609
220	172	607
221	173	606
222	173	605
223	174	603
224	174	602
225	175	601
226	176	600
227	176	599
228	177	598
229	178	596
230	178	595
231	179	594
232	180	593
233	180	592
234	181	590
235	182	589
236	183	589
237	183	588
238	184	587
239	185	586
240	185	585
241	186	584
242	187	583
243	187	582
244	188	581
245	189	579
246	189	578
247	190	577
248	191	576
249	191	574
250	192	573
251	192	572
252	193	571
253	194	570
254	194	568
255	195	567
256	195	566
257	196	564
258	197	563
259	197	563
260	198	562
261	199	562
262	200	561
263	200	560
264	201	559
265	202	558
266	202	556
267	203	555
268	204	554
269	204	553
270	205	552
271	206	551
272	206	550
273	207	549
274	208	548
275	208	547
276	209	546
277	210	545
278	210	544
279	211	543
280	211	542
281	212	541
282	213	540
283	214	539
284	214	539
285	215	538
286	216	537
287	217	536
288	217	535
289	218	534
290	218	533
291	219	532
292	220	531
293	220	530
294	221	529
295	222	528
296	222	527
297	223	526
298	224	525
299	224	524
300	225	523
301	226	522
302	226	521
303	227	520
304	228	520
305	229	519
306	230	519
307	230	518
308	232	519
309	232	518
310	233	517
311	234	516
312	234	515
313	235	514
314	236	513
315	236	512
316	237	511
317	238	510
318	238	509
319	239	508
320	240	507
321	240	506
322	241	505
323	241	504
324	242	503
325	243	502
326	244	502
327	244	501
328	245	500
329	246	500
330	246	499
331	247	498
332	248	497
333	248	496
334	249	495
335	250	494
336	250	493
337	251	492
338	252	491
